460075273929359370;user;fake ads that lead into nitro etc scams;https://dndw.net/d/35-cipo5949-635894892459196447-11k-members-discord-scam
635894892459196447;user;sells server which you never recieve;https://dndw.net/d/35-cipo5949-635894892459196447-11k-members-discord-scam
777234996481097748;bot;data collection and fake advertising;https://dndw.net/d/5-nexus5481-discord-bot-with-questionable-origins
788246479725789224;user;sells server which you never recieve;https://dndw.net/d/63-discord-server-scam
805206907543355402;user;minecraft account scam;https://dndw.net/d/66-minecraft-account-steal-scam-launcher-profiles
816101718127149096;bot;controlling the server and messaging users;https://dndw.net/d/10-plosmo5186-discord-joins-farming-bot
824683589698191371;user;tries to scam you out of your steam account;https://dndw.net/d/7-discordsteam-scam
825356244885700608;user;scams user out of their servers;https://dndw.net/d/58-discord-server-taken-with-pic
827481704432009286;user;heavy selfbotting with fake nitro etc;https://dndw.net/d/10-plosmo5186-discord-joins-farming-bot
839257709358088222;user;pump and dump scam;https://dndw.net/d/53-pump-and-dump-discord-scam
840977023555600394;server;pump and dump scam;https://dndw.net/d/53-pump-and-dump-discord-scam
